Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Methylations	Demethylations	Drivers	VarMethylations	VarDemethylations	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.001219	3	2	0	0	2.333333	2.333333	0.000000	2.888889	3.555556	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	3	3	1	1	1	5	1	5	3	0	0	0	0	0	0	0	0	0	0
2.071308	6	5	0	0	4.000000	2.500000	0.000000	8.000000	1.916667	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	6	6	1	1	1	10	1	10	6	0	0	0	0	0	0	0	0	0	0
3.191410	14	14	1	0	5.214286	4.214286	0.000000	7.739795	2.025510	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	14	14	1	1	1	26	1	27	14	0	0	0	0	0	0	0	0	0	0
4.202815	35	38	4	0	7.542857	6.171429	0.000000	12.476736	4.199183	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	35	35	1	1	1	69	1	73	35	0	0	0	0	0	0	0	0	0	0
5.218250	57	73	17	0	9.666667	8.175439	0.000000	17.520470	7.828870	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	56	56	1	1	1	120	1	133	57	0	0	0	0	0	0	0	0	0	0
6.218996	95	151	57	0	11.957894	10.084210	0.000000	21.640335	11.803436	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	95	95	1	1	1	225	1	277	95	0	0	0	0	0	0	0	0	0	0
7.227179	108	242	135	0	14.564815	12.638889	0.000000	29.801357	14.582558	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	108	108	1	1	1	318	1	441	108	0	0	0	0	0	0	0	0	0	0
8.227235	120	363	244	0	17.908333	14.966666	0.000000	31.333263	14.815553	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	120	120	1	1	1	441	1	661	120	0	0	0	0	0	0	0	0	0	0
9.229924	124	492	369	0	19.250000	17.346775	0.000000	33.284275	15.839426	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	124	124	1	1	1	565	1	897	124	0	0	0	0	0	0	0	0	0	0
10.234696	127	620	494	0	21.346457	19.795275	0.000000	30.683111	24.540754	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	127	127	1	1	1	678	1	1126	127	0	0	0	0	0	0	0	0	0	0
11.238700	127	732	606	0	23.637794	22.858267	0.000000	27.963297	28.200390	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	126	126	1	1	1	780	1	1326	127	0	0	0	0	0	0	0	0	0	0
12.257356	128	878	751	0	26.453125	26.500000	0.000000	31.263428	34.718750	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	128	128	1	1	1	914	1	1592	128	0	0	0	0	0	0	0	0	0	0
13.262253	129	1000	872	0	28.883720	28.581396	0.000000	32.676411	43.731747	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	129	129	1	1	1	1024	1	1814	129	0	0	0	0	0	0	0	0	0	0
14.276958	129	1154	1026	0	30.643412	31.255814	0.000000	37.748817	43.833771	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	127	127	1	1	1	1155	1	2088	129	0	0	0	0	0	0	0	0	0	0
15.277655	129	1279	1151	0	32.403099	31.844961	0.000000	39.263859	42.580612	0.000000	1.000000e+00	1.282723e-05	0.000000e+00	0.000000e+00	128	128	1	1	1	1265	1	2313	129	0	0	0	0	0	0	0	0	0	0
