Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.234696	1	0.007874	214
10.234696	2	0.015748	70
10.234696	3	0.023622	33
10.234696	4	0.031496	44
10.234696	5	0.039370	18
10.234696	6	0.047244	13
10.234696	7	0.055118	6
10.234696	8	0.062992	14
10.234696	9	0.070866	4
10.234696	10	0.078740	19
10.234696	127	1.000000	1
10.234696	94	0.740157	2
10.234696	33	0.259843	1
10.234696	70	0.551181	1
10.234696	24	0.188976	7
10.234696	46	0.362205	1
10.234696	15	0.118110	1
10.234696	39	0.307087	1
10.234696	11	0.086614	2
10.234696	28	0.220472	1
10.234696	18	0.141732	3
10.234696	16	0.125984	2
10.234696	17	0.133858	8
10.234696	14	0.110236	1
10.234696	13	0.102362	1
20.290854	1	0.006289	233
20.290854	2	0.012579	116
20.290854	3	0.018868	62
20.290854	4	0.025157	45
20.290854	5	0.031447	47
20.290854	6	0.037736	32
20.290854	7	0.044025	25
20.290854	8	0.050314	14
20.290854	9	0.056604	43
20.290854	10	0.062893	12
20.290854	159	1.000000	1
20.290854	131	0.823899	2
20.290854	28	0.176101	37
20.290854	101	0.635220	1
20.290854	30	0.188679	1
20.290854	73	0.459119	2
20.290854	72	0.452830	1
20.290854	53	0.333333	1
20.290854	19	0.119497	7
20.290854	12	0.075472	18
20.290854	41	0.257862	5
20.290854	13	0.081761	43
20.290854	15	0.094340	20
20.290854	26	0.163522	3
20.290854	23	0.144654	1
20.290854	11	0.069182	1
20.290854	18	0.113208	3
30.313026	1	0.001949	726
30.313026	2	0.003899	342
30.313026	3	0.005848	197
30.313026	4	0.007797	151
30.313026	5	0.009747	86
30.313026	6	0.011696	98
30.313026	7	0.013645	71
30.313026	8	0.015595	54
30.313026	9	0.017544	57
30.313026	10	0.019493	17
30.313026	513	1.000000	1
30.313026	416	0.810916	2
30.313026	97	0.189084	15
30.313026	382	0.744639	1
30.313026	34	0.066277	39
30.313026	201	0.391813	3
30.313026	181	0.352827	6
30.313026	146	0.284600	1
30.313026	55	0.107212	27
30.313026	112	0.218324	5
30.313026	87	0.169591	11
30.313026	25	0.048733	25
30.313026	105	0.204678	4
30.313026	11	0.021442	27
30.313026	76	0.148148	23
30.313026	23	0.044834	34
30.313026	98	0.191033	21
30.313026	58	0.113060	11
30.313026	39	0.076023	4
30.313026	18	0.035088	21
30.313026	75	0.146199	1
30.313026	12	0.023392	50
30.313026	17	0.033138	30
30.313026	21	0.040936	36
30.313026	37	0.072125	4
30.313026	45	0.087719	12
30.313026	48	0.093567	1
30.313026	53	0.103314	5
30.313026	47	0.091618	4
30.313026	15	0.029240	13
30.313026	13	0.025341	10
30.313026	19	0.037037	11
30.313026	50	0.097466	5
30.313026	43	0.083821	2
30.313026	40	0.077973	8
30.313026	24	0.046784	8
30.313026	14	0.027290	23
30.313026	16	0.031189	3
30.313026	22	0.042885	1
30.313026	26	0.050682	1
30.313026	20	0.038986	2
30.313026	42	0.081871	1
30.313026	27	0.052632	1
40.319614	1	0.000366	3796
40.319614	2	0.000733	1574
40.319614	3	0.001099	938
40.319614	4	0.001466	686
40.319614	5	0.001832	411
40.319614	6	0.002199	395
40.319614	7	0.002565	245
40.319614	8	0.002931	291
40.319614	9	0.003298	175
40.319614	10	0.003664	186
40.319614	2729	1.000000	1
40.319614	2359	0.864419	2
40.319614	370	0.135581	15
40.319614	2200	0.806156	1
40.319614	159	0.058263	9
40.319614	990	0.362770	3
40.319614	1210	0.443386	6
40.319614	729	0.267131	1
40.319614	261	0.095639	29
40.319614	140	0.051301	30
40.319614	589	0.215830	5
40.319614	456	0.167094	11
40.319614	133	0.048736	26
40.319614	670	0.245511	25
40.319614	31	0.011359	48
40.319614	540	0.197875	23
40.319614	128	0.046904	24
40.319614	269	0.098571	5
40.319614	101	0.037010	4
40.319614	51	0.018688	23
40.319614	440	0.161231	1
40.319614	11	0.004031	168
40.319614	20	0.007329	32
40.319614	401	0.146940	3
40.319614	16	0.005863	83
40.319614	39	0.014291	36
40.319614	50	0.018322	11
40.319614	205	0.075119	3
40.319614	64	0.023452	9
40.319614	376	0.137779	9
40.319614	397	0.145475	1
40.319614	40	0.014657	16
40.319614	21	0.007695	57
40.319614	172	0.063027	10
40.319614	33	0.012092	17
40.319614	22	0.008062	64
40.319614	63	0.023085	17
40.319614	66	0.024185	31
40.319614	474	0.173690	5
40.319614	250	0.091609	4
40.319614	130	0.047636	4
40.319614	62	0.022719	34
40.319614	245	0.089776	8
40.319614	188	0.068890	2
40.319614	15	0.005497	89
40.319614	221	0.080982	2
40.319614	49	0.017955	9
40.319614	79	0.028948	7
40.319614	355	0.130084	3
40.319614	37	0.013558	33
40.319614	131	0.048003	6
40.319614	437	0.160132	3
40.319614	29	0.010627	35
40.319614	621	0.227556	3
40.319614	82	0.030048	11
40.319614	35	0.012825	30
40.319614	158	0.057897	4
40.319614	139	0.050934	1
40.319614	154	0.056431	5
40.319614	43	0.015757	7
40.319614	109	0.039941	6
40.319614	167	0.061195	1
40.319614	30	0.010993	37
40.319614	106	0.038842	12
40.319614	24	0.008794	47
40.319614	90	0.032979	5
40.319614	19	0.006962	68
40.319614	70	0.025650	6
40.319614	142	0.052034	3
40.319614	44	0.016123	12
40.319614	107	0.039209	2
