Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	Methylations	Demethylations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	0	1.000000	0.000013	0.000000	13756
0	0	1	0	0	0	1	3	1	1.000000	0.000013	0.432925	11659
0	0	2	0	0	0	1	0	1	1.000000	0.000013	0.432925	2097
0	1	3	0	0	0	1	4	1	1.000000	0.000013	1.001219	11659
0	3	5	0	0	0	1	5	1	1.000000	0.000013	1.497595	10699
0	3	6	0	0	0	1	7	3	1.000000	0.000013	1.497595	960
0	5	7	0	0	0	1	6	2	1.000000	0.000013	1.980350	5269
0	5	8	0	0	0	1	7	1	1.000000	0.000013	1.980350	5430
0	2	9	0	0	0	1	1	3	1.000000	0.000013	2.071308	2097
0	7	11	0	0	0	1	6	4	1.000000	0.000013	2.291127	5269
0	11	13	0	0	0	1	9	4	1.000000	0.000013	2.401084	5269
0	9	19	0	0	0	1	2	3	1.000000	0.000013	2.856416	2097
0	13	21	0	0	0	1	10	4	1.000000	0.000013	2.870828	4231
0	13	22	0	0	0	1	10	5	1.000000	0.000013	2.870828	1038
0	19	24	0	0	0	1	4	4	1.000000	0.000013	2.920142	2097
0	24	25	0	0	0	1	4	5	1.000000	0.000013	3.191410	2097
0	22	28	0	0	0	1	11	5	1.000000	0.000013	3.268859	1038
0	25	37	0	0	0	1	4	7	1.000000	0.000013	3.475070	2097
0	21	38	0	0	0	1	12	6	1.000000	0.000013	3.601731	961
0	21	39	0	0	0	1	11	5	1.000000	0.000013	3.601731	3270
0	6	51	0	0	0	1	10	4	1.000000	0.000013	3.808183	960
0	85	103	0	0	0	1	8	10	1.000000	0.000013	4.670957	2097
0	38	57	0	0	0	1	14	7	1.000000	0.000013	3.924345	961
0	39	62	0	0	0	1	12	8	1.000000	0.000013	3.966659	3270
0	28	74	0	0	0	1	13	6	1.000000	0.000013	4.271810	1038
0	57	76	0	0	0	1	14	8	1.000000	0.000013	4.310534	961
0	76	81	0	0	0	1	16	12	1.000000	0.000013	4.386305	961
0	8	83	0	0	0	1	8	2	1.000000	0.000013	4.409067	5430
0	37	85	0	0	0	1	6	8	1.000000	0.000013	4.410497	2097
0	81	92	0	0	0	1	19	14	1.000000	0.000013	4.476120	961
0	177	292	0	0	0	1	19	12	1.000000	0.000013	6.334814	1038
0	62	107	0	0	0	1	14	10	1.000000	0.000013	4.736128	3270
0	559	586	0	0	0	1	23	20	1.000000	0.000013	7.946449	2597
0	74	128	0	0	0	1	16	11	1.000000	0.000013	5.123446	1038
0	92	132	0	0	0	1	20	14	1.000000	0.000013	5.218250	961
0	83	169	0	0	0	1	10	3	1.000000	0.000013	5.493130	5430
0	51	144	0	0	0	1	12	5	1.000000	0.000013	5.293827	960
0	128	146	0	0	0	1	18	11	1.000000	0.000013	5.299894	1038
0	146	177	0	0	0	1	18	12	1.000000	0.000013	5.518905	1038
0	132	186	0	0	0	1	21	16	1.000000	0.000013	5.615302	961
0	107	190	0	0	0	1	15	12	1.000000	0.000013	5.651284	3270
0	190	194	0	0	0	1	18	13	1.000000	0.000013	5.690868	3270
0	466	573	0	0	0	1	19	15	1.000000	0.000013	7.889364	673
0	169	208	0	0	0	1	12	4	1.000000	0.000013	5.766016	5430
0	208	228	0	0	0	1	13	6	1.000000	0.000013	5.923638	5430
0	144	296	0	0	0	1	13	6	1.000000	0.000013	6.350568	960
0	186	236	0	0	0	1	21	18	1.000000	0.000013	5.974336	961
0	236	404	0	0	0	1	22	20	1.000000	0.000013	6.991515	961
0	103	269	0	0	0	1	10	12	1.000000	0.000013	6.155719	2097
0	228	301	0	0	0	1	13	12	1.000000	0.000013	6.387092	5430
0	269	313	0	0	0	1	11	12	1.000000	0.000013	6.447480	2097
0	606	629	0	0	0	1	17	14	1.000000	0.000013	8.140162	3146
0	1105	1231	0	0	0	1	22	15	1.000000	0.000013	10.800876	134
0	296	340	0	0	0	1	15	6	1.000000	0.000013	6.623846	960
0	571	633	0	0	0	1	28	24	1.000000	0.000013	8.162752	961
0	633	749	0	0	0	1	30	25	1.000000	0.000013	8.563397	961
0	689	703	0	0	0	1	24	15	1.000000	0.000013	8.373119	1038
0	313	454	0	0	0	1	11	13	1.000000	0.000013	7.373317	2097
0	194	465	0	0	0	1	19	13	1.000000	0.000013	7.443339	2597
0	194	466	0	0	0	1	18	14	1.000000	0.000013	7.443339	673
0	340	490	0	0	0	1	15	7	1.000000	0.000013	7.569531	960
0	301	502	0	0	0	1	13	13	1.000000	0.000013	7.626650	2284
0	755	802	0	0	0	1	27	16	1.000000	0.000013	8.759903	1038
0	857	1070	0	0	0	1	18	26	1.000000	0.000013	9.990757	2097
0	536	551	0	0	0	1	17	14	1.000000	0.000013	7.828512	2284
0	454	528	0	0	0	1	13	20	1.000000	0.000013	7.753998	2097
0	621	627	0	0	0	1	21	13	1.000000	0.000013	8.107262	826
0	502	536	0	0	0	1	16	13	1.000000	0.000013	7.776871	2284
0	465	542	0	0	0	1	21	14	1.000000	0.000013	7.788579	2597
0	578	599	0	0	0	1	19	11	1.000000	0.000013	8.016029	960
0	542	559	0	0	0	1	22	14	1.000000	0.000013	7.852171	2597
0	599	621	0	0	0	1	20	12	1.000000	0.000013	8.093588	826
0	490	570	0	0	0	1	16	9	1.000000	0.000013	7.881079	960
0	404	571	0	0	0	1	28	21	1.000000	0.000013	7.882010	961
0	573	577	0	0	0	1	21	16	1.000000	0.000013	7.911606	673
0	570	578	0	0	0	1	17	10	1.000000	0.000013	7.919855	960
0	902	996	0	0	0	1	19	20	1.000000	0.000013	9.629281	3146
0	301	593	0	0	0	1	15	12	1.000000	0.000013	8.005013	3146
0	292	597	0	0	0	1	20	12	1.000000	0.000013	8.012251	1038
0	593	606	0	0	0	1	16	14	1.000000	0.000013	8.041538	3146
0	551	614	0	0	0	1	19	15	1.000000	0.000013	8.066198	2284
0	629	739	0	0	0	1	17	15	1.000000	0.000013	8.508085	3146
0	599	622	0	0	0	1	19	13	1.000000	0.000013	8.093588	134
0	622	632	0	0	0	1	19	15	1.000000	0.000013	8.157928	134
0	586	636	0	0	0	1	25	20	1.000000	0.000013	8.165971	2597
0	597	648	0	0	0	1	21	12	1.000000	0.000013	8.204784	1038
0	1191	1326	0	0	0	1	24	23	1.000000	0.000013	11.252774	2284
0	749	946	0	0	0	1	31	27	1.000000	0.000013	9.371958	961
0	648	689	0	0	0	1	21	13	1.000000	0.000013	8.310595	1038
0	614	696	0	0	0	1	19	16	1.000000	0.000013	8.340739	2284
0	528	720	0	0	0	1	14	24	1.000000	0.000013	8.431318	2097
0	703	738	0	0	0	1	25	15	1.000000	0.000013	8.500606	1038
0	720	857	0	0	0	1	16	24	1.000000	0.000013	9.059570	2097
0	738	755	0	0	0	1	27	15	1.000000	0.000013	8.583316	1038
0	959	1090	0	0	0	1	33	29	1.000000	0.000013	10.055564	961
0	854	955	0	0	0	1	23	18	1.000000	0.000013	9.405001	673
0	636	1010	0	0	0	1	27	20	1.000000	0.000013	9.663527	2597
0	577	854	0	0	0	1	22	18	1.000000	0.000013	9.053559	673
0	696	918	0	0	0	1	20	16	1.000000	0.000013	9.315918	2284
0	739	869	0	0	0	1	18	17	1.000000	0.000013	9.091870	3146
0	946	959	0	0	0	1	32	28	1.000000	0.000013	9.424741	961
0	869	902	0	0	0	1	18	20	1.000000	0.000013	9.250547	3146
0	632	912	0	0	0	1	20	15	1.000000	0.000013	9.262726	134
0	802	978	0	0	0	1	27	20	1.000000	0.000013	9.531838	1038
0	996	1016	0	0	0	1	22	22	1.000000	0.000013	9.679537	3146
0	1116	1126	0	0	0	1	22	21	1.000000	0.000013	10.236221	2284
0	1016	1023	0	0	0	1	25	23	1.000000	0.000013	9.716008	3146
0	1055	1117	0	0	0	1	28	23	1.000000	0.000013	10.175467	1038
0	1023	1045	0	0	0	1	25	24	1.000000	0.000013	9.810521	3146
0	978	1055	0	0	0	1	28	22	1.000000	0.000013	9.824973	1038
0	1070	1312	0	0	0	1	19	28	1.000000	0.000013	11.165627	1603
0	918	1093	0	0	0	1	22	17	1.000000	0.000013	10.071609	2284
0	912	1105	0	0	0	1	21	15	1.000000	0.000013	10.152373	134
0	1326	1432	0	0	0	1	27	24	1.000000	0.000013	11.685838	2284
0	1093	1116	0	0	0	1	22	18	1.000000	0.000013	10.174151	2284
0	1126	1142	0	0	0	1	23	21	1.000000	0.000013	10.285154	2284
0	1257	1265	0	0	0	1	21	28	1.000000	0.000013	10.933251	494
0	1432	1484	0	0	0	1	28	25	1.000000	0.000013	11.871632	2284
0	2106	2374	0	0	0	1	29	35	1.000000	0.000013	15.652737	319
0	1142	1191	0	0	0	1	23	22	1.000000	0.000013	10.610240	2284
0	1010	1218	0	0	0	1	27	21	1.000000	0.000013	10.715300	2597
0	1254	1719	0	0	0	1	24	16	1.000000	0.000013	12.824951	134
0	955	1247	0	0	0	1	25	20	1.000000	0.000013	10.859380	673
0	1231	1254	0	0	0	1	24	15	1.000000	0.000013	10.885377	134
0	1070	1257	0	0	0	1	20	27	1.000000	0.000013	10.903994	494
0	1459	1559	0	0	0	1	26	21	1.000000	0.000013	12.130163	826
0	1265	1270	0	0	0	1	21	29	1.000000	0.000013	10.960496	494
0	1117	1284	0	0	0	1	30	24	1.000000	0.000013	11.037541	1038
0	1350	1399	0	0	0	1	29	24	1.000000	0.000013	11.575146	2597
0	1399	1466	0	0	0	1	30	26	1.000000	0.000013	11.782043	2597
0	1312	1348	0	0	0	1	20	31	1.000000	0.000013	11.322581	1603
0	1218	1350	0	0	0	1	29	23	1.000000	0.000013	11.335464	2597
0	1090	1352	0	0	0	1	34	30	1.000000	0.000013	11.336634	961
0	627	1360	0	0	0	1	23	15	1.000000	0.000013	11.363550	826
0	1270	1513	0	0	0	1	22	31	1.000000	0.000013	11.929076	494
0	1635	1784	0	0	0	1	28	24	1.000000	0.000013	13.156876	826
0	1348	1478	0	0	0	1	20	33	1.000000	0.000013	11.838534	1603
0	1045	1422	0	0	0	1	26	24	1.000000	0.000013	11.665118	3146
0	1247	1448	0	0	0	1	25	22	1.000000	0.000013	11.711702	673
0	1360	1459	0	0	0	1	25	18	1.000000	0.000013	11.743360	826
0	1352	1515	0	0	0	1	34	31	1.000000	0.000013	11.959307	961
0	1466	1492	0	0	0	1	32	27	1.000000	0.000013	11.888803	2597
0	1535	1584	0	0	0	1	31	26	1.000000	0.000013	12.204589	3146
0	1422	1535	0	0	0	1	28	25	1.000000	0.000013	12.056235	3146
0	1492	1944	0	0	0	1	33	28	1.000000	0.000013	13.736257	2430
0	1559	1635	0	0	0	1	26	22	1.000000	0.000013	12.488557	826
0	1484	1591	0	0	0	1	31	26	1.000000	0.000013	12.257356	2284
0	1591	1593	0	0	0	1	32	27	1.000000	0.000013	12.260798	2284
0	1784	1828	0	0	0	1	30	25	1.000000	0.000013	13.311316	826
0	1448	1650	0	0	0	1	25	24	1.000000	0.000013	12.551497	673
0	1478	1619	0	0	0	1	22	33	1.000000	0.000013	12.401040	1603
0	1584	1629	0	0	0	1	32	30	1.000000	0.000013	12.461090	3146
0	1989	2221	0	0	0	1	29	21	1.000000	0.000013	14.971869	68
0	1629	1675	0	0	0	1	35	31	1.000000	0.000013	12.629833	3146
0	1719	1768	0	0	0	1	27	17	1.000000	0.000013	13.089595	66
0	1619	1897	0	0	0	1	23	34	1.000000	0.000013	13.501496	1603
0	1513	1937	0	0	0	1	25	32	1.000000	0.000013	13.720304	319
0	1284	1970	0	0	0	1	30	26	1.000000	0.000013	13.812148	1038
0	1719	1769	0	0	0	1	27	19	1.000000	0.000013	13.089595	68
0	1515	2188	0	0	0	1	36	33	1.000000	0.000013	14.789379	961
0	1768	1848	0	0	0	1	29	19	1.000000	0.000013	13.360810	66
0	2537	2585	0	0	0	1	30	40	1.000000	0.000013	16.596764	319
0	1938	2060	0	0	0	1	37	30	1.000000	0.000013	14.152866	2284
0	2101	2384	0	0	0	1	39	37	1.000000	0.000013	15.687552	12
0	1828	1893	0	0	0	1	32	26	1.000000	0.000013	13.489728	826
0	1848	1877	0	0	0	1	31	19	1.000000	0.000013	13.433503	66
0	1959	2026	0	0	0	1	36	33	1.000000	0.000013	14.038948	2030
0	2008	2336	0	0	0	1	38	30	1.000000	0.000013	15.439379	167
0	1893	1913	0	0	0	1	35	27	1.000000	0.000013	13.602404	826
0	1944	1959	0	0	0	1	35	30	1.000000	0.000013	13.776588	2030
0	1593	1938	0	0	0	1	36	28	1.000000	0.000013	13.725545	2284
0	1913	1936	0	0	0	1	35	28	1.000000	0.000013	13.716429	826
0	2340	2400	0	0	0	1	40	34	1.000000	0.000013	15.738744	167
0	1492	1945	0	0	0	1	32	29	1.000000	0.000013	13.736257	167
0	1944	1960	0	0	0	1	35	29	1.000000	0.000013	13.776588	400
0	1513	1968	0	0	0	1	22	32	1.000000	0.000013	13.802063	175
0	1769	1989	0	0	0	1	29	20	1.000000	0.000013	13.901952	68
0	1945	2008	0	0	0	1	33	30	1.000000	0.000013	13.978778	167
0	2060	2083	0	0	0	1	37	32	1.000000	0.000013	14.243075	2284
0	1937	2076	0	0	0	1	26	32	1.000000	0.000013	14.199594	319
0	1877	2055	0	0	0	1	32	22	1.000000	0.000013	14.143270	66
0	1968	2263	0	0	0	1	23	32	1.000000	0.000013	15.080193	175
0	2333	2363	0	0	0	1	36	33	1.000000	0.000013	15.586256	826
0	2026	2101	0	0	0	1	36	34	1.000000	0.000013	14.356494	2030
0	2076	2106	0	0	0	1	28	32	1.000000	0.000013	14.368217	319
0	2083	2123	0	0	0	1	37	33	1.000000	0.000013	14.450271	2284
0	1936	2219	0	0	0	1	35	29	1.000000	0.000013	14.953090	826
0	2055	2227	0	0	0	1	33	22	1.000000	0.000013	14.984346	66
0	1650	2256	0	0	0	1	26	24	1.000000	0.000013	15.057356	673
0	1970	2213	0	0	0	1	31	26	1.000000	0.000013	14.930837	1038
0	2406	2453	0	0	0	1	26	27	1.000000	0.000013	15.963774	673
0	2213	2377	0	0	0	1	34	27	1.000000	0.000013	15.657962	1038
0	2514	2562	0	0	0	1	26	34	1.000000	0.000013	16.488752	1429
0	1675	2253	0	0	0	1	36	32	1.000000	0.000013	15.050049	3146
0	1897	2370	0	0	0	1	25	36	1.000000	0.000013	15.604920	174
0	1960	2286	0	0	0	1	35	30	1.000000	0.000013	15.128744	400
