Generation	X	Y	Population	NormalCells	DeathRate	Diversity	DriverDiversity	AvgMethArray
0.000000	0	0	1	131071	0.000000	0.000000	0.000000	0.00 1.00 1.00 0.50 1.00 1.00 0.50 0.00 0.50 0.00 1.00 1.00 0.50 0.50 0.50 0.00 0.50 0.50 0.00 0.00 0.00 0.00 0.50 1.00 0.50 0.00 1.00 0.50 0.50 0.00 0.00 0.50 0.50 0.50 0.50 0.50 0.50 1.00 0.50 1.00 1.00 0.50 0.50 0.50 0.50 0.50 1.00 0.00 0.50 0.50 0.00 0.50 0.00 0.00 0.00 1.00 0.00 0.00 0.50 1.00 1.00 0.50 1.00 0.50 1.00 0.50 1.00 0.00 0.00 0.00 0.00 1.00 0.50 0.50 0.50 0.50 0.00 0.00 1.00 0.50 0.50 1.00 0.00 0.00 0.00 0.00 1.00 0.50 0.50 1.00 0.00 0.50 0.50 0.50 0.00 0.00 0.50 0.50 0.00 0.50 
10.000140	0	0	36	131037	100.000000	0.000000	0.000000	0.00 0.96 1.00 0.50 1.00 1.00 0.50 0.24 0.50 0.00 1.00 1.00 0.50 0.50 0.50 0.00 0.50 0.50 0.03 0.00 0.00 0.00 0.51 1.00 0.50 0.00 1.00 0.50 0.50 0.01 0.00 0.50 0.50 0.50 0.50 0.50 0.50 1.00 0.47 1.00 1.00 0.50 0.49 0.50 0.50 0.50 0.76 0.00 0.50 0.46 0.00 0.50 0.15 0.00 0.00 1.00 0.00 0.00 0.49 1.00 1.00 0.50 1.00 0.50 0.99 0.51 1.00 0.00 0.00 0.00 0.00 1.00 0.50 0.50 0.50 0.50 0.00 0.00 1.00 0.50 0.50 1.00 0.00 0.00 0.00 0.01 0.96 0.50 0.50 1.00 0.00 0.50 0.50 0.50 0.00 0.00 0.50 0.50 0.00 0.50 
20.000227	0	0	101	130972	100.000000	0.000000	0.000000	0.00 0.92 0.96 0.51 1.00 0.99 0.62 0.02 0.50 0.00 1.00 1.00 0.50 0.50 0.50 0.00 0.50 0.50 0.00 0.00 0.00 0.00 0.46 1.00 0.50 0.01 1.00 0.50 0.50 0.00 0.01 0.50 0.47 0.49 0.50 0.50 0.50 1.00 0.50 1.00 1.00 0.56 0.49 0.73 0.39 0.50 0.97 0.00 0.50 0.42 0.00 0.49 0.06 0.00 0.00 1.00 0.00 0.00 0.42 1.00 1.00 0.47 1.00 0.50 0.91 0.50 1.00 0.00 0.00 0.00 0.00 1.00 0.54 0.50 0.50 0.50 0.00 0.00 1.00 0.50 0.50 1.00 0.05 0.00 0.00 0.00 1.00 0.50 0.50 0.99 0.00 0.55 0.50 0.50 0.00 0.00 0.47 0.50 0.00 0.50 
30.000267	0	0	286	130787	100.000000	0.000000	0.000000	0.02 0.90 0.99 0.53 1.00 0.98 0.62 0.02 0.50 0.00 0.99 0.99 0.49 0.48 0.50 0.02 0.50 0.47 0.00 0.00 0.00 0.01 0.49 1.00 0.50 0.00 0.99 0.50 0.49 0.03 0.01 0.51 0.50 0.47 0.50 0.50 0.50 0.99 0.50 0.98 0.97 0.52 0.49 0.67 0.31 0.51 0.90 0.00 0.50 0.40 0.03 0.48 0.05 0.00 0.00 0.96 0.00 0.00 0.41 0.98 0.99 0.47 0.99 0.47 0.90 0.51 1.00 0.01 0.04 0.01 0.00 1.00 0.51 0.50 0.50 0.50 0.01 0.00 1.00 0.50 0.50 1.00 0.12 0.00 0.01 0.02 1.00 0.48 0.51 0.97 0.00 0.63 0.51 0.50 0.04 0.01 0.48 0.50 0.00 0.48 
40.000362	0	0	617	130456	100.000000	0.000000	0.000000	0.05 0.90 1.00 0.55 0.99 1.00 0.56 0.07 0.50 0.01 0.98 0.97 0.47 0.49 0.50 0.03 0.51 0.50 0.03 0.02 0.00 0.02 0.48 0.99 0.51 0.01 1.00 0.47 0.49 0.02 0.00 0.52 0.49 0.44 0.49 0.50 0.51 1.00 0.52 0.97 0.97 0.55 0.50 0.63 0.28 0.51 0.81 0.01 0.50 0.41 0.03 0.50 0.04 0.02 0.00 0.93 0.00 0.02 0.41 0.99 1.00 0.46 0.98 0.47 0.95 0.52 1.00 0.01 0.09 0.01 0.00 0.99 0.53 0.51 0.50 0.51 0.04 0.00 1.00 0.50 0.50 1.00 0.17 0.02 0.00 0.00 0.99 0.47 0.49 0.95 0.01 0.56 0.53 0.50 0.05 0.03 0.48 0.49 0.02 0.46 
50.000446	0	0	1824	129249	100.000000	0.000000	0.000000	0.07 0.87 0.99 0.52 1.00 0.99 0.65 0.04 0.51 0.02 0.95 0.95 0.45 0.47 0.49 0.05 0.52 0.50 0.03 0.05 0.01 0.05 0.50 0.99 0.52 0.02 1.00 0.48 0.52 0.02 0.02 0.51 0.50 0.44 0.47 0.48 0.49 0.98 0.52 0.96 0.98 0.53 0.50 0.68 0.33 0.50 0.89 0.01 0.50 0.38 0.06 0.54 0.08 0.03 0.01 0.94 0.00 0.04 0.39 0.99 0.99 0.49 0.98 0.47 0.94 0.52 0.98 0.02 0.16 0.02 0.06 0.97 0.58 0.49 0.50 0.50 0.06 0.02 0.99 0.49 0.50 0.98 0.15 0.02 0.01 0.03 0.99 0.45 0.51 0.97 0.02 0.53 0.55 0.50 0.09 0.01 0.50 0.49 0.02 0.42 
59.586788	0	0	5000	126073	100.000000	0.000000	0.000000	0.10 0.87 0.99 0.51 0.98 0.98 0.67 0.04 0.51 0.03 0.97 0.94 0.44 0.46 0.50 0.07 0.51 0.50 0.04 0.06 0.02 0.07 0.51 0.99 0.50 0.03 0.99 0.48 0.53 0.03 0.02 0.49 0.49 0.43 0.49 0.48 0.50 0.97 0.53 0.93 0.96 0.54 0.49 0.67 0.32 0.51 0.88 0.01 0.50 0.39 0.04 0.55 0.11 0.04 0.01 0.96 0.01 0.05 0.39 0.98 0.97 0.50 0.96 0.47 0.94 0.51 0.98 0.02 0.17 0.03 0.07 0.94 0.61 0.49 0.50 0.48 0.07 0.02 0.98 0.49 0.50 0.96 0.15 0.02 0.03 0.03 0.97 0.45 0.50 0.96 0.03 0.49 0.57 0.51 0.08 0.02 0.50 0.50 0.02 0.43 
60.000500	0	0	5251	125822	100.000000	0.000000	0.000000	0.10 0.87 0.99 0.51 0.98 0.98 0.68 0.04 0.51 0.03 0.97 0.94 0.44 0.45 0.50 0.08 0.50 0.50 0.04 0.06 0.02 0.07 0.51 0.99 0.50 0.03 0.99 0.48 0.53 0.03 0.02 0.49 0.49 0.43 0.48 0.48 0.50 0.97 0.53 0.92 0.96 0.54 0.49 0.67 0.32 0.51 0.88 0.01 0.50 0.39 0.04 0.55 0.12 0.04 0.02 0.96 0.01 0.05 0.39 0.98 0.97 0.50 0.96 0.47 0.94 0.51 0.98 0.02 0.17 0.03 0.07 0.94 0.61 0.49 0.50 0.48 0.07 0.02 0.98 0.49 0.50 0.96 0.15 0.02 0.03 0.03 0.97 0.45 0.50 0.96 0.03 0.49 0.57 0.51 0.08 0.02 0.50 0.50 0.02 0.43 
67.529938	0	0	10000	121073	100.000000	0.000000	0.000000	0.10 0.88 0.98 0.51 0.98 0.97 0.67 0.05 0.51 0.04 0.95 0.93 0.45 0.45 0.50 0.08 0.50 0.51 0.05 0.06 0.02 0.08 0.51 0.98 0.50 0.03 0.98 0.48 0.52 0.04 0.03 0.49 0.49 0.43 0.49 0.48 0.49 0.96 0.52 0.91 0.95 0.54 0.48 0.67 0.31 0.51 0.87 0.02 0.50 0.39 0.05 0.55 0.13 0.04 0.02 0.95 0.01 0.06 0.39 0.97 0.96 0.50 0.96 0.47 0.95 0.51 0.98 0.02 0.18 0.04 0.06 0.93 0.60 0.49 0.51 0.48 0.08 0.03 0.97 0.49 0.50 0.95 0.17 0.03 0.04 0.03 0.95 0.45 0.50 0.96 0.03 0.49 0.57 0.50 0.09 0.02 0.50 0.50 0.03 0.43 
70.000572	0	0	12831	118242	100.000000	0.000000	0.000000	0.11 0.88 0.97 0.51 0.98 0.97 0.67 0.05 0.50 0.04 0.95 0.93 0.44 0.45 0.50 0.08 0.50 0.51 0.05 0.07 0.03 0.08 0.51 0.98 0.50 0.03 0.98 0.48 0.53 0.04 0.03 0.49 0.50 0.44 0.49 0.48 0.50 0.96 0.53 0.90 0.95 0.54 0.48 0.67 0.31 0.52 0.87 0.03 0.50 0.40 0.05 0.55 0.13 0.04 0.02 0.95 0.01 0.06 0.39 0.96 0.95 0.50 0.96 0.47 0.94 0.51 0.98 0.03 0.19 0.04 0.06 0.93 0.61 0.49 0.50 0.47 0.09 0.03 0.97 0.50 0.50 0.95 0.17 0.03 0.04 0.03 0.95 0.45 0.50 0.96 0.03 0.48 0.57 0.50 0.09 0.02 0.51 0.51 0.03 0.44 
