NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	Methylations	Demethylations
1	1	-1	-1	0.000000	0	0	0	1	1.000000	0.000000	0.000000	0	0	0	0
2	1	-1	-1	1.000046	0	0	0	2	1.000000	0.000000	0.000000	0	0	0	0
3	1	-1	-1	2.000052	0	0	0	3	1.000000	0.000000	0.000000	0	0	0	0
5	1	-1	-1	3.000077	0	0	0	5	1.000000	0.000000	0.000000	0	0	0	0
6	1	-1	-1	4.000078	0	0	0	6	1.000000	0.000000	0.000000	0	0	0	0
14	1	-1	-1	5.000096	0	0	0	14	1.000000	0.000000	0.000000	0	0	0	0
9	1	-1	-1	6.000100	0	0	0	9	1.000000	0.000000	0.000000	0	0	0	0
17	1	-1	-1	7.000104	0	0	0	17	1.000000	0.000000	0.000000	0	0	0	0
21	1	-1	-1	8.000135	0	0	0	21	1.000000	0.000000	0.000000	0	0	0	0
32	1	-1	-1	9.000139	0	0	0	32	1.000000	0.000000	0.000000	0	0	0	0
36	1	-1	-1	10.000140	0	0	0	36	1.000000	0.000000	0.000000	0	0	0	0
49	1	-1	-1	11.000152	0	0	0	49	1.000000	0.000000	0.000000	0	0	0	0
47	1	-1	-1	12.000153	0	0	0	47	1.000000	0.000000	0.000000	0	0	0	0
43	1	-1	-1	13.000153	0	0	0	43	1.000000	0.000000	0.000000	0	0	0	0
38	1	-1	-1	14.000156	0	0	0	38	1.000000	0.000000	0.000000	0	0	0	0
32	1	-1	-1	15.000181	0	0	0	32	1.000000	0.000000	0.000000	0	0	0	0
46	1	-1	-1	16.000191	0	0	0	46	1.000000	0.000000	0.000000	0	0	0	0
49	1	-1	-1	17.000200	0	0	0	49	1.000000	0.000000	0.000000	0	0	0	0
80	1	-1	-1	18.000202	0	0	0	80	1.000000	0.000000	0.000000	0	0	0	0
114	1	-1	-1	19.000216	0	0	0	114	1.000000	0.000000	0.000000	0	0	0	0
101	1	-1	-1	20.000227	0	0	0	101	1.000000	0.000000	0.000000	0	0	0	0
110	1	-1	-1	21.000227	0	0	0	110	1.000000	0.000000	0.000000	0	0	0	0
133	1	-1	-1	22.000229	0	0	0	133	1.000000	0.000000	0.000000	0	0	0	0
164	1	-1	-1	23.000233	0	0	0	164	1.000000	0.000000	0.000000	0	0	0	0
195	1	-1	-1	24.000244	0	0	0	195	1.000000	0.000000	0.000000	0	0	0	0
229	1	-1	-1	25.000244	0	0	0	229	1.000000	0.000000	0.000000	0	0	0	0
288	1	-1	-1	26.000250	0	0	0	288	1.000000	0.000000	0.000000	0	0	0	0
279	1	-1	-1	27.000252	0	0	0	279	1.000000	0.000000	0.000000	0	0	0	0
289	1	-1	-1	28.000263	0	0	0	289	1.000000	0.000000	0.000000	0	0	0	0
284	1	-1	-1	29.000265	0	0	0	284	1.000000	0.000000	0.000000	0	0	0	0
286	1	-1	-1	30.000267	0	0	0	286	1.000000	0.000000	0.000000	0	0	0	0
284	1	-1	-1	31.000271	0	0	0	284	1.000000	0.000000	0.000000	0	0	0	0
292	1	-1	-1	32.000275	0	0	0	292	1.000000	0.000000	0.000000	0	0	0	0
329	1	-1	-1	33.000275	0	0	0	329	1.000000	0.000000	0.000000	0	0	0	0
378	1	-1	-1	34.000278	0	0	0	378	1.000000	0.000000	0.000000	0	0	0	0
422	1	-1	-1	35.000305	0	0	0	422	1.000000	0.000000	0.000000	0	0	0	0
523	1	-1	-1	36.000313	0	0	0	523	1.000000	0.000000	0.000000	0	0	0	0
521	1	-1	-1	37.000320	0	0	0	521	1.000000	0.000000	0.000000	0	0	0	0
516	1	-1	-1	38.000351	0	0	0	516	1.000000	0.000000	0.000000	0	0	0	0
592	1	-1	-1	39.000351	0	0	0	589	1.000000	0.000000	0.000000	0	0	0	0
617	1	-1	-1	40.000362	0	0	0	616	1.000000	0.000000	0.000000	0	0	0	0
667	1	-1	-1	41.000362	0	0	0	666	1.000000	0.000000	0.000000	0	0	0	0
788	1	-1	-1	42.000366	0	0	0	787	1.000000	0.000000	0.000000	0	0	0	0
896	1	-1	-1	43.000370	0	0	0	893	1.000000	0.000000	0.000000	0	0	0	0
954	1	-1	-1	44.000385	0	0	0	951	1.000000	0.000000	0.000000	0	0	0	0
1062	1	-1	-1	45.000412	0	0	0	1058	1.000000	0.000000	0.000000	0	0	0	0
1192	1	-1	-1	46.000423	0	0	0	1187	1.000000	0.000000	0.000000	0	0	0	0
1304	1	-1	-1	47.000423	0	0	0	1302	1.000000	0.000000	0.000000	0	0	0	0
1471	1	-1	-1	48.000427	0	0	0	1467	1.000000	0.000000	0.000000	0	0	0	0
1693	1	-1	-1	49.000439	0	0	0	1692	1.000000	0.000000	0.000000	0	0	0	0
1824	1	-1	-1	50.000446	0	0	0	1824	1.000000	0.000000	0.000000	0	0	0	0
2034	1	-1	-1	51.000450	0	0	0	2034	1.000000	0.000000	0.000000	0	0	0	0
2196	1	-1	-1	52.000450	0	0	0	2196	1.000000	0.000000	0.000000	0	0	0	0
2496	1	-1	-1	53.000454	0	0	0	2496	1.000000	0.000000	0.000000	0	0	0	0
2588	1	-1	-1	54.000458	0	0	0	2588	1.000000	0.000000	0.000000	0	0	0	0
2945	1	-1	-1	55.000465	0	0	0	2945	1.000000	0.000000	0.000000	0	0	0	0
3419	1	-1	-1	56.000465	0	0	0	3419	1.000000	0.000000	0.000000	0	0	0	0
3760	1	-1	-1	57.000465	0	0	0	3760	1.000000	0.000000	0.000000	0	0	0	0
4229	1	-1	-1	58.000473	0	0	0	4229	1.000000	0.000000	0.000000	0	0	0	0
4709	1	-1	-1	59.000492	0	0	0	4709	1.000000	0.000000	0.000000	0	0	0	0
5251	1	-1	-1	60.000500	0	0	0	5251	1.000000	0.000000	0.000000	0	0	0	0
5771	1	-1	-1	61.000515	0	0	0	5771	1.000000	0.000000	0.000000	0	0	0	0
6245	1	-1	-1	62.000538	0	0	0	6245	1.000000	0.000000	0.000000	0	0	0	0
6793	1	-1	-1	63.000538	0	0	0	6793	1.000000	0.000000	0.000000	0	0	0	0
7339	1	-1	-1	64.000542	0	0	0	7339	1.000000	0.000000	0.000000	0	0	0	0
7937	1	-1	-1	65.000542	0	0	0	7937	1.000000	0.000000	0.000000	0	0	0	0
8722	1	-1	-1	66.000542	0	0	0	8722	1.000000	0.000000	0.000000	0	0	0	0
9598	1	-1	-1	67.000557	0	0	0	9598	1.000000	0.000000	0.000000	0	0	0	0
10557	1	-1	-1	68.000557	0	0	0	10557	1.000000	0.000000	0.000000	0	0	0	0
11714	1	-1	-1	69.000565	0	0	0	11714	1.000000	0.000000	0.000000	0	0	0	0
12831	1	-1	-1	70.000572	0	0	0	12830	1.000000	0.000000	0.000000	0	0	0	0
14078	1	-1	-1	71.000572	0	0	0	14078	1.000000	0.000000	0.000000	0	0	0	0
15410	1	-1	-1	72.000572	0	0	0	15408	1.000000	0.000000	0.000000	0	0	0	0
