Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigRandomSamples
0.000000	1	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
10.000140	36	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
20.000227	101	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
30.000267	286	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
40.000362	617	1.003247	1.003247	1.003247	1.000000	1.010050	1.010050	1.003247	1.006504	1.009772
50.000446	1824	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
59.586788	5000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
60.000500	5251	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
67.529938	10000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
70.000572	12831	1.000156	1.000156	1.000156	1.000000	1.000000	1.000000	1.000000	1.001001	1.000000
71.750458	15000	1.000267	1.000267	1.000267	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
74.736206	20000	1.000500	1.000500	1.000500	1.000000	1.000000	1.010050	1.000000	1.000000	1.000500
77.239594	25000	1.000720	1.000720	1.000720	1.000000	1.010050	1.000000	1.000000	1.000000	1.000500
79.619385	30000	1.001535	1.001535	1.001535	1.000000	1.000000	1.000000	1.002002	1.002002	1.000000
80.000633	30854	1.001492	1.001492	1.001492	1.000000	1.000000	1.000000	1.002002	1.002002	1.001501
81.802231	35000	1.002919	1.002919	1.002919	1.000000	1.010050	1.005013	1.004008	1.003005	1.003005
83.625473	40000	1.003256	1.003256	1.003256	1.000000	1.000000	1.000000	1.002002	1.002002	1.003005
85.569412	45000	1.002671	1.002671	1.002671	1.000000	1.000000	1.000000	1.002002	1.003005	1.003006
87.211830	50000	1.001882	1.001882	1.001882	1.000000	1.000000	1.005013	1.002002	1.001001	1.000500
88.861115	55000	1.001966	1.001966	1.001966	1.000000	1.000000	1.005013	1.000000	1.001001	1.002002
90.000748	58896	1.001427	1.001427	1.001427	1.000000	1.000000	1.000000	1.004010	1.001001	1.000500
90.294739	60000	1.001668	1.001668	1.001668	1.000000	1.000000	1.000000	1.002002	1.001001	1.001001
91.781830	65000	1.001910	1.001910	1.001910	1.000000	1.000000	1.000000	1.000000	1.002002	1.003005
93.228210	70000	1.002002	1.002002	1.002002	1.000000	1.010050	1.000000	1.004010	1.002002	1.002503
94.770111	75000	1.002056	1.002056	1.002056	1.000000	1.000000	1.000000	1.002002	1.005015	1.001001
96.276482	80000	1.002479	1.002479	1.002479	1.000000	1.010050	1.000000	1.000000	1.001001	1.003507
97.644753	85000	1.002427	1.002427	1.002427	1.000000	1.000000	1.000000	1.002002	1.002002	1.002503
99.331024	90000	1.003027	1.003027	1.003027	1.000000	1.000000	1.000000	1.006018	1.005013	1.002002
100.000801	91967	1.002570	1.002570	1.002570	1.000000	1.000000	1.000000	1.002002	1.004009	1.003506
101.070946	95000	1.001791	1.001791	1.001791	1.000000	1.010050	1.005013	1.004008	1.000000	1.002002
102.935829	100000	1.001221	1.001221	1.001221	1.000000	1.000000	1.000000	1.006024	1.001001	1.002504
