Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.000140	1	0.027778	0
10.000140	2	0.055556	0
10.000140	3	0.083333	0
10.000140	4	0.111111	0
10.000140	5	0.138889	0
10.000140	6	0.166667	0
10.000140	7	0.194444	0
10.000140	8	0.222222	0
10.000140	9	0.250000	0
10.000140	10	0.277778	0
10.000140	36	1.000000	1
20.000227	1	0.009901	0
20.000227	2	0.019802	0
20.000227	3	0.029703	0
20.000227	4	0.039604	0
20.000227	5	0.049505	0
20.000227	6	0.059406	0
20.000227	7	0.069307	0
20.000227	8	0.079208	0
20.000227	9	0.089109	0
20.000227	10	0.099010	0
20.000227	101	1.000000	1
30.000267	1	0.003497	0
30.000267	2	0.006993	0
30.000267	3	0.010490	0
30.000267	4	0.013986	0
30.000267	5	0.017483	0
30.000267	6	0.020979	0
30.000267	7	0.024476	0
30.000267	8	0.027972	0
30.000267	9	0.031469	0
30.000267	10	0.034965	0
30.000267	286	1.000000	1
40.000362	1	0.001621	1
40.000362	2	0.003241	0
40.000362	3	0.004862	0
40.000362	4	0.006483	0
40.000362	5	0.008104	0
40.000362	6	0.009724	0
40.000362	7	0.011345	0
40.000362	8	0.012966	0
40.000362	9	0.014587	0
40.000362	10	0.016207	0
40.000362	616	0.998379	1
50.000446	1	0.000548	0
50.000446	2	0.001096	0
50.000446	3	0.001645	0
50.000446	4	0.002193	0
50.000446	5	0.002741	0
50.000446	6	0.003289	0
50.000446	7	0.003838	0
50.000446	8	0.004386	0
50.000446	9	0.004934	0
50.000446	10	0.005482	0
50.000446	1824	1.000000	1
59.586788	1	0.000200	0
59.586788	2	0.000400	0
59.586788	3	0.000600	0
59.586788	4	0.000800	0
59.586788	5	0.001000	0
59.586788	6	0.001200	0
59.586788	7	0.001400	0
59.586788	8	0.001600	0
59.586788	9	0.001800	0
59.586788	10	0.002000	0
59.586788	5000	1.000000	1
60.000500	1	0.000190	0
60.000500	2	0.000381	0
60.000500	3	0.000571	0
60.000500	4	0.000762	0
60.000500	5	0.000952	0
60.000500	6	0.001143	0
60.000500	7	0.001333	0
60.000500	8	0.001524	0
60.000500	9	0.001714	0
60.000500	10	0.001904	0
60.000500	5251	1.000000	1
67.529938	1	0.000100	0
67.529938	2	0.000200	0
67.529938	3	0.000300	0
67.529938	4	0.000400	0
67.529938	5	0.000500	0
67.529938	6	0.000600	0
67.529938	7	0.000700	0
67.529938	8	0.000800	0
67.529938	9	0.000900	0
67.529938	10	0.001000	0
67.529938	10000	1.000000	1
70.000572	1	0.000078	1
70.000572	2	0.000156	0
70.000572	3	0.000234	0
70.000572	4	0.000312	0
70.000572	5	0.000390	0
70.000572	6	0.000468	0
70.000572	7	0.000546	0
70.000572	8	0.000623	0
70.000572	9	0.000701	0
70.000572	10	0.000779	0
70.000572	12830	0.999922	1
71.750458	1	0.000067	0
71.750458	2	0.000133	1
71.750458	3	0.000200	0
71.750458	4	0.000267	0
71.750458	5	0.000333	0
71.750458	6	0.000400	0
71.750458	7	0.000467	0
71.750458	8	0.000533	0
71.750458	9	0.000600	0
71.750458	10	0.000667	0
71.750458	14998	0.999867	1
74.736206	1	0.000050	0
74.736206	2	0.000100	0
74.736206	3	0.000150	0
74.736206	4	0.000200	0
74.736206	5	0.000250	1
74.736206	6	0.000300	0
74.736206	7	0.000350	0
74.736206	8	0.000400	0
74.736206	9	0.000450	0
74.736206	10	0.000500	0
74.736206	19995	0.999750	1
77.239594	1	0.000040	0
77.239594	2	0.000080	0
77.239594	3	0.000120	0
77.239594	4	0.000160	0
77.239594	5	0.000200	0
77.239594	6	0.000240	0
77.239594	7	0.000280	0
77.239594	8	0.000320	0
77.239594	9	0.000360	1
77.239594	10	0.000400	0
77.239594	24991	0.999640	1
79.619385	1	0.000033	1
79.619385	2	0.000067	1
79.619385	3	0.000100	0
79.619385	4	0.000133	0
79.619385	5	0.000167	0
79.619385	6	0.000200	0
79.619385	7	0.000233	0
79.619385	8	0.000267	0
79.619385	9	0.000300	0
79.619385	10	0.000333	0
79.619385	29977	0.999233	1
79.619385	20	0.000667	1
80.000633	1	0.000032	2
80.000633	2	0.000065	0
80.000633	3	0.000097	0
80.000633	4	0.000130	0
80.000633	5	0.000162	0
80.000633	6	0.000194	0
80.000633	7	0.000227	0
80.000633	8	0.000259	0
80.000633	9	0.000292	0
80.000633	10	0.000324	0
80.000633	30831	0.999255	1
80.000633	21	0.000681	1
81.802231	1	0.000029	0
81.802231	2	0.000057	0
81.802231	3	0.000086	0
81.802231	4	0.000114	0
81.802231	5	0.000143	0
81.802231	6	0.000171	0
81.802231	7	0.000200	0
81.802231	8	0.000229	1
81.802231	9	0.000257	0
81.802231	10	0.000286	0
81.802231	34949	0.998543	1
81.802231	43	0.001229	1
83.625473	1	0.000025	0
83.625473	2	0.000050	0
83.625473	3	0.000075	0
83.625473	4	0.000100	0
83.625473	5	0.000125	0
83.625473	6	0.000150	0
83.625473	7	0.000175	0
83.625473	8	0.000200	1
83.625473	9	0.000225	0
83.625473	10	0.000250	0
83.625473	39935	0.998375	1
83.625473	57	0.001425	1
85.569412	1	0.000022	0
85.569412	2	0.000044	0
85.569412	3	0.000067	0
85.569412	4	0.000089	0
85.569412	5	0.000111	0
