Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.000140	1	0.027778	8
10.000140	2	0.055556	3
10.000140	3	0.083333	0
10.000140	4	0.111111	0
10.000140	5	0.138889	1
10.000140	6	0.166667	0
10.000140	7	0.194444	0
10.000140	8	0.222222	1
10.000140	9	0.250000	1
10.000140	10	0.277778	0
20.000227	1	0.009901	21
20.000227	2	0.019802	9
20.000227	3	0.029703	3
20.000227	4	0.039604	4
20.000227	5	0.049505	2
20.000227	6	0.059406	2
20.000227	7	0.069307	1
20.000227	8	0.079208	1
20.000227	9	0.089109	0
20.000227	10	0.099010	0
30.000267	1	0.003497	43
30.000267	2	0.006993	28
30.000267	3	0.010490	8
30.000267	4	0.013986	12
30.000267	5	0.017483	1
30.000267	6	0.020979	4
30.000267	7	0.024476	1
30.000267	8	0.027972	5
30.000267	9	0.031469	0
30.000267	10	0.034965	0
30.000267	15	0.052448	1
30.000267	11	0.038462	1
30.000267	13	0.045455	1
40.000362	1	0.001621	91
40.000362	2	0.003241	55
40.000362	3	0.004862	22
40.000362	4	0.006483	11
40.000362	5	0.008104	4
40.000362	6	0.009724	10
40.000362	7	0.011345	7
40.000362	8	0.012966	5
40.000362	9	0.014587	2
40.000362	10	0.016207	2
40.000362	17	0.027553	1
40.000362	22	0.035656	1
40.000362	26	0.042139	1
40.000362	11	0.017828	2
40.000362	12	0.019449	1
50.000446	1	0.000548	309
50.000446	2	0.001096	116
50.000446	3	0.001645	68
50.000446	4	0.002193	45
50.000446	5	0.002741	29
50.000446	6	0.003289	19
50.000446	7	0.003838	21
50.000446	8	0.004386	10
50.000446	9	0.004934	6
50.000446	10	0.005482	4
50.000446	22	0.012061	2
50.000446	12	0.006579	2
50.000446	11	0.006031	4
50.000446	19	0.010417	1
50.000446	13	0.007127	3
50.000446	18	0.009868	2
50.000446	16	0.008772	1
50.000446	30	0.016447	1
50.000446	25	0.013706	1
50.000446	14	0.007675	3
59.586788	1	0.000200	856
59.586788	2	0.000400	331
59.586788	3	0.000600	190
59.586788	4	0.000800	119
59.586788	5	0.001000	67
59.586788	6	0.001200	49
59.586788	7	0.001400	44
59.586788	8	0.001600	26
59.586788	9	0.001800	24
59.586788	10	0.002000	18
59.586788	16	0.003200	5
59.586788	11	0.002200	12
59.586788	24	0.004800	2
59.586788	12	0.002400	10
59.586788	26	0.005200	1
59.586788	14	0.002800	4
59.586788	13	0.002600	4
59.586788	17	0.003400	3
59.586788	19	0.003800	2
59.586788	15	0.003000	6
59.586788	18	0.003600	1
59.586788	21	0.004200	3
59.586788	22	0.004400	2
59.586788	23	0.004600	1
59.586788	20	0.004000	1
59.586788	34	0.006800	1
60.000500	1	0.000190	892
60.000500	2	0.000381	342
60.000500	3	0.000571	197
60.000500	4	0.000762	119
60.000500	5	0.000952	82
60.000500	6	0.001143	45
60.000500	7	0.001333	31
60.000500	8	0.001524	32
60.000500	9	0.001714	25
60.000500	10	0.001904	20
60.000500	14	0.002666	2
60.000500	26	0.004951	1
60.000500	11	0.002095	20
60.000500	13	0.002476	8
60.000500	18	0.003428	3
60.000500	12	0.002285	7
60.000500	29	0.005523	1
60.000500	15	0.002857	8
60.000500	16	0.003047	4
60.000500	22	0.004190	2
60.000500	17	0.003237	4
60.000500	20	0.003809	3
60.000500	19	0.003618	2
60.000500	21	0.003999	2
60.000500	24	0.004571	1
60.000500	25	0.004761	1
67.529938	1	0.000100	1721
67.529938	2	0.000200	725
67.529938	3	0.000300	369
67.529938	4	0.000400	235
67.529938	5	0.000500	155
67.529938	6	0.000600	84
67.529938	7	0.000700	92
67.529938	8	0.000800	43
67.529938	9	0.000900	38
67.529938	10	0.001000	38
67.529938	11	0.001100	23
67.529938	20	0.002000	2
67.529938	21	0.002100	1
67.529938	22	0.002200	5
67.529938	19	0.001900	4
67.529938	14	0.001400	10
67.529938	13	0.001300	14
67.529938	12	0.001200	11
67.529938	15	0.001500	17
67.529938	29	0.002900	1
67.529938	17	0.001700	7
67.529938	35	0.003500	1
67.529938	18	0.001800	2
67.529938	33	0.003300	1
67.529938	16	0.001600	8
67.529938	24	0.002400	4
67.529938	32	0.003200	1
67.529938	28	0.002800	1
67.529938	23	0.002300	1
67.529938	25	0.002500	1
70.000572	1	0.000078	2156
70.000572	2	0.000156	927
70.000572	3	0.000234	475
70.000572	4	0.000312	281
70.000572	5	0.000390	185
70.000572	6	0.000468	142
70.000572	7	0.000546	88
70.000572	8	0.000623	64
70.000572	9	0.000701	61
70.000572	10	0.000779	54
70.000572	12	0.000935	20
70.000572	11	0.000857	27
70.000572	14	0.001091	18
70.000572	16	0.001247	13
70.000572	21	0.001637	5
70.000572	22	0.001715	3
70.000572	20	0.001559	5
70.000572	15	0.001169	13
70.000572	19	0.001481	3
70.000572	23	0.001793	1
70.000572	27	0.002104	1
70.000572	17	0.001325	6
70.000572	13	0.001013	15
70.000572	26	0.002026	1
70.000572	18	0.001403	6
70.000572	24	0.001870	2
70.000572	31	0.002416	2
70.000572	58	0.004520	1
70.000572	39	0.003040	1
70.000572	42	0.003273	1
70.000572	28	0.002182	1
71.750458	1	0.000067	2517
71.750458	2	0.000133	1055
71.750458	3	0.000200	536
71.750458	4	0.000267	373
71.750458	5	0.000333	211
